ip1,ip2,port1,port2,proto,pkts12_min,pkts12_mid,pkts12_max,pkts21_min,pkts21_mid,pkts21_max,pkl12_min,pkl12_mid,pkl12_max,pkl21_min,pkl21_mid,pkl21_max,behavior_tag,topology_tag,class,app,community_tag
192.168.7.202,123.126.122.29,1.0,1.0,6.0,3.0,3.0,3.0,1.0,1.0,1.0,220.33333333333334,220.33333333333334,220.33333333333334,52.0,52.0,52.0,-2,123_123,8,913,22
192.168.7.223,123.126.122.29,1.0,1.0,6.0,3.0,3.0,3.0,1.0,1.0,1.0,138.33333333333334,138.33333333333334,138.33333333333334,60.0,60.0,60.0,-2,123_123,8,913,22
192.168.6.253,211.159.155.139,1.0,1.0,6.0,35.0,35.0,35.0,13.0,13.0,13.0,1267.3714285714286,1267.3714285714286,1267.3714285714286,56.53846153846154,56.53846153846154,56.53846153846154,-2,144_144,8,237,39
192.168.7.116,211.159.155.139,1.0,1.0,6.0,4.0,4.0,4.0,3.0,3.0,3.0,88.75,88.75,88.75,103.33333333333333,103.33333333333333,103.33333333333333,-2,144_144,8,237,39
192.168.6.238,122.193.207.23,1.0,1.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,136.25,136.25,136.25,128.5,128.5,128.5,-2,151_151,8,237,45
192.168.7.47,122.193.207.23,1.0,1.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,136.5,136.5,136.5,128.5,128.5,128.5,-2,151_151,8,237,45
192.168.6.242,52.138.216.83,1.0,1.0,6.0,3.0,3.0,3.0,4.0,4.0,4.0,115.33333333333333,115.33333333333333,115.33333333333333,966.25,966.25,966.25,-2,172_172,8,913,62
192.168.7.187,52.138.216.83,1.0,1.0,6.0,14.0,14.0,14.0,14.0,14.0,14.0,181.64285714285714,181.64285714285714,181.64285714285714,344.2142857142857,344.2142857142857,344.2142857142857,-2,172_172,8,913,62
192.168.1.111,202.106.0.20,6.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,55.0,55.0,55.0,257.0,257.0,257.0,0,1_1,8,916,90
192.168.1.112,202.106.0.20,6.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,55.0,55.0,55.0,257.0,257.0,257.0,0,1_1,8,916,90
192.168.6.217,202.106.0.20,2.0,1.0,17.0,0.0,0.5,1.0,1.0,1.0,1.0,0.0,33.5,67.0,364.0,364.0,364.0,-1,1_1,8,916,89
